text,labels
"Interestingly, certain viruses, and, more especially, enveloped viruses belonging to different viral families and including human pathogens, can mediate cell-cell fusion between infected cells and neighboring non-infected cells.",0
"Statin patients showed more comorbidities and more severe COVID-19 (NEWS 4 [IQR 2-6] vs 3 [IQR 2-5], p < 0.001).",0
"Furthermore, we discuss cost-related concerns of pre-endoscopy COVID-19 testing, the downtime and delays related to the procedures, and effects of rescheduling.",0
"These drugs are often applied together with analgesics or non-steroid anti-inflammatory compounds, and co-morbid patients may also be treated with anticancer, cholesterol-lowering or antidiabetic agents.",0
"To date, little data is available about COVID-19 presentation, complications, and appropriate treatment in this population.",0
"We found that older adults reported a higher level of low arousal positive affect (e.g., calm) and lower levels of high arousal negative affect (HAN; e.g., anxiety), low arousal negative affect (LAN; e.g., dullness), and perceived stress related to COVID-19 in daily life, compared to younger adults.",0
"Here, we investigate whether predispositions for uncertainty-guided information seeking relate to individual differences in dogmatism, a phenomenon linked to entrenched beliefs in political, scientific, and religious discourse.",0
"In this work, we introduce UTLDR, a framework that can simulate the effects of several public interventions (and their combinations) on the unfolding of epidemic processes.",0
"The COVID-19 pandemic has exposed, and intensified, health inequities faced by Latinx in the United States.",0
"The gastrointestinal tract has become increasingly recognized as a site of SARS-CoV-2 infection with reports of diarrhea, nausea, and liver failure, with or without concomitant respiratory involvement.",0
"The recovered fine particle fraction (FPF)recovered and the emitted fine particle fraction (FPFemitted) of the HCQ-sul sample immediately after jet milling and the samples after conditioning at 43%, 53%, and 58% RH were similar at ∼43% and 61%, respectively.",0
"It is commonly believed that constant accumulation of senescent cells may lead to dysfunctional tissues and organs, thereby accelerating aging process and subsequent occurrence of age-related diseases.",0
Students were generally satisfied with the online course and 62.2% of them preferred the online course to the offline course.,0
"MDT decisions were rarely made on the basis of post-contrast imaging, and GBCA administration could therefore potentially be restricted in the setting of surveillance of grade 1 astrocytomas in children.",0
"Patient activation, or level of engagement in one's medical care is linked to hospital readmissions and worse outcomes in a number of diseases.",0
Seventy cytomegalovirus infections observed in 43 patients were divided into 23 episodes occurring before and 47 episodes occurring after discontinuing prophylaxis.,0
This is the third and most extensive pandemic.,0
