text,labels
The advisory claims that families of those killed while in isolation will not be able to hold funerals or burials for them,1
Lemon juice and bicarbonate mixture prevents and cures COVID-19 in Israel.,1
COVID-19 was created in 2014 by an English institute.,1
"We demonstrated that women with mental treatment history, those in the first trimester of pregnancy and the ones that are single or in an informal relationship tend to experience higher levels of psychological distress and anxiety.",0
Information from Guangzhou CDC was also screened.,0
Pereira (Colombia) Mayor’s Office applied mandatory isolation before the National Government and did pay public service bills.,1
The only restaurant that is allowed to be open during the lockdown for COVID-19 is the one for Italian senators and representatives.,1
Says Nostradamus predicted the coronavirus in a 1551 passage about a plague spreading from the east.,1
No one is carrying them due to the risk of infection.,1
Maduro decreed three months of quarantine.,1
The findings indicate positive effects of caste homogeneity while observing limited impact of economic inequality and religious homogeneity.,0
Curcumin could reduce the frequency of Th17 cells and their related inflammatory factors in both mild and severe COVID-19 patients.,0
The lockdown measure was introduced to our model as a predictor and the attention mechanism was utilized to learn the different contributions of the confirmed cases in the past days to the future trend.,0
"However, only approximately half (49.8% and 49.9%) had correct knowledge that obesity was a risk factor for COVID-19 and that antibiotics cannot be used to treat COVID-19.",0
"This includes, for instance, varying the conditions of learning to allow for more active, effortful, or challenging, contexts.",0
"Resistome analysis showed SW1, SW109084, and SW39 carried 14, 19, and 17 antibiotic resistance genes.",0
We utilized an integrative approach to comprehensively analyze the transcriptional features of both COVID-19 patients and SARS-CoV-2 infected cells.,0
The need to physical distance requires rethinking how we deliver ophthalmic care.,0
Pandemics occur every 100 years.,1
"An image shows groups of Muslims gather to pray on various rooftops, thus failing to comply with the social distancing ordered by the Spanish Government to prevent the spread of the coronavirus.",1
"“Amoxi” Capsule, made in US, is the only medicine that can completely cure COVID-19.",1
"The world has witnessed rapid advancement and changes since the COVID-19 pandemic emerged in Wuhan, China.",0
"These results suggest that prompt actions are required to improve FHWs’ knowledge of COVID-19, address negative perceptions of government responses, and motivate them through specific measures to provide healthcare services during the pandemic.",0
French high school in the town of Langres was chosen to test a vaccine against COVID-19.,1
“Actors” applauded Macron when he visited the suburban city of Pantin near Paris.,1
China got prepared to contain the virus and let the whole population get infected.,1
"TMPRSS2 protein is highly expressed in prostate secretory epithelial cells, and its expression is dependent on androgen signals.",0
The swift incorporation of disease-specific sessions and the transition of standard education to virtual or hybrid simulation training modes occurred frequently.,0
"Egypt finds the cure for COVID-19, which is Redmisivir and starts manufacturaing the drug to distribute it to the public.",1
There is science behind Indian Prime minister Modi’s 5 p.m. clapping initiative: Clapping generates vibration which can kill coronavirus.,1
"By targeting SARS-CoV-2's nucleoprotein gene, digital WS-CRISPR assay is able to detect down to 5 copies/l SARS-CoV-2 RNA in the chip within 90 minutes.",0
"In this study, we have identified a total of 15 antigenic peptides [including thymus cells (T-cells) and bone marrow or bursa-derived cells] in the surface glycoprotein (SG) of SARS-CoV-2 which is nontoxic and nonallergenic in nature, nonallergenic, highly antigenic and non-mutated in other SARS-CoV-2 virus strains.",0
"In this exploratory study, we investigated the demographic, experiential, and psychological factors associated with the anticipated likelihood and speed of having children receive a SARS-CoV-2 vaccine in a sample of 455 Canadian families (857 children).",0
"The case fatality risk [%(95% CI)] were 52% (46–60) for heart disease, 51% (43–59) for COPD, 48% (37–63) for chronic kidney disease (CKD), 39% for chronic liver disease (CLD), 28% (23–36%) for hypertension, and 24% (17–33%) for diabetes.",0
"Importantly, in patients with hematological malignancies, chemotherapy could markedly increase the mortality (RR 2.68, 95% CI: 1.90-3.78, I2 =0%, p < 0.00001).",0
Philippines President Rodrigo Duterte said he has been warning of the COVID-19 “since the beginning.”,1
Black cats in Vietnam are being killed and consumed as a COVID-19 cure.,1
Social media posts shared in South Africa claim that children in grades 1 to 11 will be promoted after the school year was cancelled because of the novel coronavirus pandemic.,1
"This suggests that systemically vaccinated patients, while asymptomatic, may still be become infected and transmit live virus from the upper airway.",0
The Disaster Management Act has been implemented across India.,1
Hot lemon juice prevents coronavirus.,1
A video of hospital workers in France putting on tattered protective gowns has been viewed hundreds of thousands of times on Facebook and Twitter alongside a claim that the garments were made in China.,1
"During the COVID-19 pandemic, a stay-at-home order was issued by the state government, which may have led to heart failure deterioration secondary to poor follow up and change in dietary habits.",0
Using laser thermometers to detect fever can damage the retina.,1
Main outcomes and measures Publishing scientists (authors) and their published papers and citation impact.,0
"Finally, interpretable decision rules for estimating the risk of mortality of patients can be obtained from the decision tree, which can be crucial in the prioritization of medical care and resources.",0
"A post shared repeatedly on WhatsApp and Facebook claims a Chinese doctor has discovered that drinking tea is effective in curing and relieving symptoms of the novel coronavirus, COVID-19.",1
"A Muslim man was caught spreading coronavirus, and beaten up.",1
Israel does not have COVID-19 deaths thanks to a cure made of baking soda with lemon.,1
"Consequently, some residents closed roads.",1
Introduction The Corona virus disease 19 (COVID-19) has accounted for multiple deaths and economic woes.,0
"Those who were scheduled to take the civil service exam (CSE) on March 15, 2020 in the Philippines are deemed “automatically passed” due to the COVID-19 crisis.",1
The Italian Prime Minister has said his country has exhausted all options to fight against the coronavirus pandemic and pleads to God to “rescue your people.”,1
The data were analyzed using qualitative content analysis as well as the Landman and Graneheim Approach.,0
Filipina actress Angel Locsin “tested positive” for the coronavirus after conducting several relief operations.,1
Indian Industrialist Ratan Tata says that the country’s economy will bounce back after coronavirus.,1
Importance: Violence is a significant public health problem that has become entwined with the coronavirus disease 2019 (COVID-19) pandemic.,0
World Health Organization (WHO) has advised people against eating bakery items amid COVID-19 outbreak.,1
A graphic has been shared hundreds of times in multiple posts on Facebook and Twitter alongside a claim that it contains a quote from Britain’s Queen Elizabeth in which she praises Philippine President Rodrigo Duterte for his efforts to curb the novel coronavirus pandemic.,1
These changes to dog management have the potential for immediate and longer-term welfare problems,0
Did Costco Post This Sarcastic Reply to a Customer on Facebook?,1
Says Goodwill used the pandemic “to fire all of their employees instead of laying them off.”,1
